image,velocity,angular_velocity,x,y
245.png,0.09999999999999999,0.0,-3.845425985063443,-7.246646128530347
246.png,0.09999999999999999,0.0,-3.831828175933871,-7.246403108600897
247.png,0.09999999999999999,0.0,-3.8148309572968397,-7.246099181483294
248.png,0.09999999999999999,0.0,-3.7978338352751657,-7.245795109138644
249.png,0.09999999999999999,0.0,-3.7876354946688755,-7.245612583767469
250.png,0.09999999999999999,0.0,-3.777437176867064,-7.245429984801835
251.png,0.09999999999999999,0.0,-3.7672388263164063,-7.245247335970376
252.png,0.09999999999999999,0.0,-3.753641050445044,-7.245003666427713
253.png,0.09999999999999999,0.0,-3.753641050445044,-7.245003666427713
254.png,0.09999999999999999,0.0,-3.750241610395953,-7.24494275052875
255.png,0.09999999999999999,0.0,-3.7400433782881657,-7.244759951000871
256.png,0.09999999999999999,0.0,-3.723046194028776,-7.244455092508814
257.png,0.09999999999999999,0.0,-3.7094483949113464,-7.244211068393518
258.png,0.09999999999999999,0.0,-3.695850763055156,-7.243966969775544
259.png,0.09999999999999999,0.0,-3.682253002666754,-7.2437227442241845
260.png,0.09999999999999999,0.0,-3.668655227704819,-7.2434783806171845
261.png,0.09999999999999999,0.0,-3.631261542555234,-7.242805905289501
262.png,0.09999999999999999,0.0,-3.6210632246422083,-7.242622343872516
263.png,0.09999999999999999,0.0,-3.6074654958187065,-7.242377483595799
264.png,0.09999999999999999,0.0,-3.593867818396448,-7.242132562551901
265.png,0.09999999999999999,0.0,-3.583669462001431,-7.241948748332656
266.png,0.09999999999999999,0.0,-3.5700718254479744,-7.241703619721468
267.png,0.09999999999999999,0.0,-3.5598734343581384,-7.24151967563197
268.png,0.09999999999999999,0.0,-3.5462757691476123,-7.241274335904913
269.png,0.09999999999999999,0.0,-3.5326780819946073,-7.241028901769946
270.png,0.09999999999999999,0.0,-3.519080280318159,-7.240783320124231
271.png,0.09999999999999999,0.0,-3.508882082411678,-7.240599102617225
272.png,0.09999999999999999,0.0,-3.4952843377373513,-7.240353337245068
273.png,0.09999999999999999,0.0,-3.485086095444035,-7.24016894820674
274.png,0.09999999999999999,0.0,-3.4748877931784046,-7.2399844840336725
275.png,0.09999999999999999,0.0,-3.4578906465217254,-7.239676920806117
276.png,0.09999999999999999,0.0,-3.437494122582984,-7.2393076063831145
277.png,0.09999999999999999,0.0,-3.437494122582984,-7.2393076063831145
278.png,0.09999999999999999,0.0,-3.434094714396431,-7.239246039218466
279.png,0.0,0.0,0.0,0.0
280.png,0.0,-0.1,-6.999379091787765,-7.29869422646462
281.png,0.0,-0.1,-6.999379091787765,-7.29869422646462
282.png,0.0,-0.1,-6.999181059838675,-7.298375544142312
283.png,0.0,-0.1,-6.999181059838675,-7.298375544142312
284.png,0.0,-0.1,-6.999030830288663,-7.298157426380701
285.png,0.0,-0.1,-6.998890419939752,-7.297969418835048
286.png,0.0,-0.1,-6.9987902664991966,-7.297843798372095
287.png,0.0,-0.1,-6.998703063361777,-7.2977397388342045
288.png,0.0,-0.1,-6.998703063361777,-7.2977397388342045
289.png,0.0,-0.1,-6.998494652394737,-7.297509243906336
290.png,0.0,-0.1,-6.998387724699215,-7.2973999818282245
291.png,0.0,-0.1,-6.998294223170853,-7.297309141892313
292.png,0.0,-0.1,-6.9981990433896675,-7.297220660898229
293.png,0.0,-0.1,-6.998053146402535,-7.297092349535807
294.png,0.0,-0.1,-6.9980366710263855,-7.297078382320198
295.png,0.0,-0.1,-6.997953170549021,-7.297009296333453
296.png,0.0,-0.1,-6.9977295747338415,-7.296835772907677
297.png,0.0,-0.1,-6.997694157797537,-7.296809692716455
298.png,0.0,-0.1,-6.997458414160458,-7.2966456945605005
299.png,0.0,-0.1,-6.99734592446564,-7.296572643363499
300.png,0.0,-0.1,-6.997152304924512,-7.296453976953867
301.png,0.0,-0.1,-6.997152304924512,-7.296453976953867
302.png,0.0,-0.1,-6.996761443366663,-7.296238325761439
303.png,0.0,-0.1,-6.996630749558308,-7.296172494392218
304.png,0.0,-0.1,-6.996475069362332,-7.296097682959513
305.png,0.0,-0.1,-6.996475069362332,-7.296097682959513
306.png,0.0,-0.1,-6.996359216443504,-7.296044533481828
307.png,0.0,-0.1,-6.996121794233401,-7.29594126742979
308.png,0.0,-0.1,-6.995897055834915,-7.295850650069165
309.png,0.0,-0.1,-6.995820343788572,-7.295821022196368
310.png,0.0,-0.1,-6.995527390465896,-7.295714749605532
311.png,0.0,-0.1,-6.995333063106348,-7.2956493364464094
312.png,0.0,-0.1,-6.995131804871576,-7.29558573294787
313.png,0.0,-0.1,-6.994953713245179,-7.295532836805726
314.png,0.0,-0.1,-6.994770888934581,-7.295481486222496
315.png,0.0,-0.1,-6.994614206351039,-7.295440064190562
316.png,0.0,-0.1,-6.994485493783901,-7.295407607832888
317.png,0.0,0.0,-7.000037919410593,-7.2999554283023755
318.png,0.0,0.0,-7.000041650737001,-7.299950094340208
319.png,0.0,0.0,-7.000063905079647,-7.299924484984941
320.png,0.0,0.0,-7.000074959415675,-7.299911735555195
321.png,0.0,0.0,-7.000285930425613,-7.299679601515996
322.png,0.0,0.0,-7.000285930425613,-7.299679601515996
323.png,0.0,0.0,-7.000465944955674,-7.299499841897769
324.png,0.0,0.0,-7.00062262769779,-7.299355577489064
325.png,0.0,0.0,-7.00062262769779,-7.299355577489064
326.png,0.0,0.1,-7.000819524285948,-7.299188313554625
327.png,0.0,0.1,-7.000819524285948,-7.299188313554625
328.png,0.0,0.1,-7.001044919941167,-7.299013895341175
329.png,0.0,0.1,-7.001153357823754,-7.298935555779027
330.png,0.0,0.1,-7.001264560877148,-7.298858669964639
331.png,0.0,0.1,-7.00137922892928,-7.298782891994432
332.png,0.0,0.1,-7.00149742164184,-7.298708009904303
333.png,0.0,0.1,-7.001618855590083,-7.298634406612601
334.png,0.0,0.1,-7.001764776256807,-7.298550132634019
335.png,0.0,0.1,-7.001893643349832,-7.298479230346072
336.png,0.0,0.1,-7.001893643349832,-7.298479230346072
337.png,0.0,0.1,-7.002208802272173,-7.29831845626737
338.png,0.0,0.1,-7.0023745425506405,-7.298240460994078
339.png,0.0,0.1,-7.002521128780348,-7.298174947700509
340.png,0.0,0.1,-7.002697281445223,-7.298100191904101
341.png,0.0,0.1,-7.0028528266975645,-7.298037554260953
342.png,0.0,0.1,-7.003040310820362,-7.297966236127502
343.png,0.0,0.1,-7.003040310820362,-7.297966236127502
344.png,0.0,0.1,-7.003404761157268,-7.297839006811498
345.png,0.0,0.1,-7.003550881310686,-7.297791984213505
346.png,0.0,0.1,-7.0035802850122515,-7.297782793238969
347.png,0.0,0.1,-7.004008409393022,-7.297658622651672
348.png,0.0,0.1,-7.004040186296162,-7.297650103008665
349.png,0.0,0.1,-7.004232313462989,-7.297600445202008
350.png,0.0,0.1,-7.004496937614952,-7.297537388125815
351.png,0.0,0.1,-7.004874000472092,-7.2974574160602845
352.png,0.0,0.1,-7.005049873880962,-7.297424036554139
353.png,0.0,0.1,-7.005266583289875,-7.297385873934099
354.png,0.0,0.0,-6.47937964949721,-7.299797150349094
355.png,0.0,0.0,-6.47937964949721,-7.299797150349094
356.png,0.0,-0.1,-6.47928002587812,-7.299674505643975
357.png,0.0,-0.1,-6.479210246707825,-7.299592317925856
358.png,0.0,-0.1,-6.479196005773689,-7.299575911786771
